timestamp,cpu,ram
2026-04-07 21:34:15,14.6,45.6
2026-04-07 21:34:17,2.9,45.6
2026-04-07 21:34:18,1.3,45.6
2026-04-07 21:34:20,1.0,45.6
2026-04-07 21:34:21,4.2,45.8
2026-04-07 21:34:23,23.2,46.8
2026-04-07 21:34:24,5.8,46.9
2026-04-07 21:34:26,6.1,47.1
2026-04-07 21:34:27,30.5,48.3
2026-04-07 21:34:29,5.2,48.2
2026-04-07 21:34:30,42.9,49.3
2026-04-07 21:34:32,13.3,49.6
2026-04-07 21:34:33,16.9,49.6
2026-04-07 21:34:35,14.3,49.8
2026-04-07 21:34:36,21.3,50.6
2026-04-07 21:34:38,10.0,50.5
2026-04-07 21:34:39,17.6,50.5
2026-04-07 21:34:41,28.7,51.4
2026-04-07 21:34:42,31.0,52.0
2026-04-07 21:34:44,34.6,52.7
2026-04-07 21:34:45,43.8,53.1
2026-04-07 21:34:47,53.2,55.2
2026-04-07 21:34:48,21.0,55.2
2026-04-07 21:34:50,54.7,56.6
2026-04-07 21:34:51,59.2,58.3
2026-04-07 21:34:53,32.7,59.1
2026-04-07 21:34:54,68.7,60.7
2026-04-07 21:34:56,45.7,61.6
2026-04-07 21:34:57,59.3,63.4
2026-04-07 21:34:59,49.4,58.8
2026-04-07 21:35:00,23.7,51.9
2026-04-07 21:35:02,13.0,50.3
2026-04-07 21:35:03,0.6,49.7
2026-04-07 21:35:05,1.4,49.4
2026-04-07 21:35:06,0.9,49.4
2026-04-07 21:35:08,0.5,49.1
2026-04-07 21:35:09,0.6,49.0
2026-04-07 21:35:11,1.4,48.9
2026-04-07 21:35:12,0.6,48.7
2026-04-07 21:35:14,0.3,48.6
